Title,Note,URL,Comment
Harukor Ainu Restaurant,NOrthern indigenous people food,https://www.google.com/maps/place/Harukor+Ainu+Restaurant/data=!4m2!3m1!1s0x60188d28c0de3e33:0x4379f67b4e0f4d4e,
Kintai Bridge,,https://www.google.com/maps/place/Kintai+Bridge/data=!4m2!3m1!1s0x3545343e6b6e661d:0x6654b3733cf09708,
Omoide Yokochō,,https://www.google.com/maps/place/Omoide+Yokoch%C5%8D/data=!4m2!3m1!1s0x60188cd7058ad73f:0x908f55935cc13cd3,
Shirogane Blue Pond,,https://www.google.com/maps/place/Shirogane+Blue+Pond/data=!4m2!3m1!1s0x5f0ccc62de222a6f:0x4cd181f9f4b779e,
Rengeoin Sanjusangendo,,https://www.google.com/maps/place/Rengeoin+Sanjusangendo/data=!4m2!3m1!1s0x600108ca8f9b80b3:0xaa2b01ebdb651688,
TOHO Cinemas Shinjuku,,https://www.google.com/maps/place/TOHO+Cinemas+Shinjuku/data=!4m2!3m1!1s0x60188cd82b4cf2ff:0x4e180e7a40fbffe8,
Hayao Miyazaki's NTV Clock,,https://www.google.com/maps/place/Hayao+Miyazaki's+NTV+Clock/data=!4m2!3m1!1s0x60188bc260f4af5f:0x7cb43cec3150d5e1,
Shinjuku Gyoen National Garden,,https://www.google.com/maps/place/Shinjuku+Gyoen+National+Garden/data=!4m2!3m1!1s0x60188cc21b93233f:0x6a1eb1b5a117f287,
Imperial Palace,,https://www.google.com/maps/place/Imperial+Palace/data=!4m2!3m1!1s0x60188c0d02d8064d:0xd11a5f0b379e6db7,
Zaō Fox Village,,https://www.google.com/maps/place/Za%C5%8D+Fox+Village/data=!4m2!3m1!1s0x5f8a4412d9ebd89d:0x59d031488bda23d9,
Ghibli Museum,,https://www.google.com/maps/place/Ghibli+Museum/data=!4m2!3m1!1s0x6018ee34e5038c2d:0x4de155903f849205,
Kawachi Wisteria Garden,,https://www.google.com/maps/place/Kawachi+Wisteria+Garden/data=!4m2!3m1!1s0x3543c8aab79722b9:0xfc838ba236e0f48a,
Tacos La Esperanza,Taco truck,https://www.google.com/maps/place/Tacos+La+Esperanza/data=!4m2!3m1!1s0x88690b8b40e2b0f9:0x4a23a013e74c8bc,
Supermarket & Taqueria - La Rosita,,https://www.google.com/maps/place/Supermarket+%26+Taqueria+-+La+Rosita/data=!4m2!3m1!1s0x88690c388888d55f:0x8a88025156e35645,
Yukari,,https://www.google.com/maps/place/Yukari/data=!4m2!3m1!1s0x600107e33a6871b9:0x751ad2f54419ab85,
Sushi no Midori Ginza,Affordable sushi,https://www.google.com/maps/place/Sushi+no+Midori+Ginza/data=!4m2!3m1!1s0x60188bef55e55555:0x78730b4bf7a32c62,
Sushi no Midori Akasaka,Supposedly affordable,https://www.google.com/maps/place/Sushi+no+Midori+Akasaka/data=!4m2!3m1!1s0x60188b80b9f65f9f:0x2f8abc478d3c95ef,
Yakiniku Great Soho,,https://www.google.com/maps/place/Yakiniku+Great+Soho/data=!4m2!3m1!1s0x34040101fc46c2b1:0x4763e395ae740aad,
Fūunji,Niboshi tsukemen,https://www.google.com/maps/place/F%C5%ABunji/data=!4m2!3m1!1s0x60188ccfae1f4fe7:0x2d6a64fb6fab829c,
Sakurai Chuka Soba-ten,Excellent ramen ,https://www.google.com/maps/place/Sakurai+Chuka+Soba-ten/data=!4m2!3m1!1s0x60185b903d0f7383:0xa8e6b446d3dd19e0,
Mekong Sandwich,,https://www.google.com/maps/place/Mekong+Sandwich/data=!4m2!3m1!1s0x87ee9a2aeea28815:0xbf750004376546,
Maria's Tacos,,https://www.google.com/maps/place/Maria's+Tacos/data=!4m2!3m1!1s0x886973191d656291:0xff60d3fd470df98d,
King Crab House Chicago,AYCE crab?,https://www.google.com/maps/place/King+Crab+House+Chicago/data=!4m2!3m1!1s0x880e2cd36a587397:0xdfa79b8063f57aca,
熊本直送 馬刺屋マサシ 浅草店,Horse meat,https://www.google.com/maps/place/%E7%86%8A%E6%9C%AC%E7%9B%B4%E9%80%81+%E9%A6%AC%E5%88%BA%E5%B1%8B%E3%83%9E%E3%82%B5%E3%82%B7+%E6%B5%85%E8%8D%89%E5%BA%97/data=!4m2!3m1!1s0x60188ec6be01f92b:0x81d0b1aa70d2edcc,
Kagurazakabishamon Niku Sushi,Horse meat ,https://www.google.com/maps/place/Kagurazakabishamon+Niku+Sushi/data=!4m2!3m1!1s0x60188c5a6c092da7:0xb8adddc9b27c7918,
Umasakura Ginza street shop,Horse meat ,https://www.google.com/maps/place/Umasakura+Ginza+street+shop/data=!4m2!3m1!1s0x3540f40cd169c781:0x79781bead1edc6ca,
Joukeian,Tea ceremony experience,https://www.google.com/maps/place/Joukeian/data=!4m2!3m1!1s0x60010f3090918709:0xf9d8e4d32e172fab,
Miyanoen Tea Farm,Cheap tea picking experience,https://www.google.com/maps/place/Miyanoen+Tea+Farm/data=!4m2!3m1!1s0x6018d95344337709:0x28e284d5c0fef1e,
Fujinokuni Cha no Miyako Museum,,https://www.google.com/maps/place/Fujinokuni+Cha+no+Miyako+Museum/data=!4m2!3m1!1s0x601a57d2049bd1ab:0x71b662b75abec556,
Tsuen Main Branch,Old teahouse,https://www.google.com/maps/place/Tsuen+Main+Branch/data=!4m2!3m1!1s0x6001110b1d4eb95b:0x1d2d5cd5bf1dd641,
d:matcha Kyoto CAFE & KITCHEN,Tea tour?,https://www.google.com/maps/place/d:matcha+Kyoto+CAFE+%26+KITCHEN/data=!4m2!3m1!1s0x6001408068bdb3d3:0x72021d1bbb4d4983,
Lake Atitlán,,https://www.google.com/maps/place/Lake+Atitl%C3%A1n/data=!4m2!3m1!1s0x85894ac7c083b493:0xa6e33f7d6b54910,
Shiroikoibito Park,,https://www.google.com/maps/place/Shiroikoibito+Park/data=!4m2!3m1!1s0x5f0b281264c7cb53:0xc21e3cb8d40a0191,
Zoetrope,LARGE Whiskey selection — go on weekdays. Very small limited space,https://www.google.com/maps/place/Zoetrope/data=!4m2!3m1!1s0x60188cd63611d703:0x7b9187391db793ad,
Nikka Whisky Yoichi Distillery,,https://www.google.com/maps/place/Nikka+Whisky+Yoichi+Distillery/data=!4m2!3m1!1s0x5f0ae59054edfb5b:0x4791ec9eb732c8aa,
Suntory Yamazaki Distillery,,https://www.google.com/maps/place/Suntory+Yamazaki+Distillery/data=!4m2!3m1!1s0x60010363f5516cf9:0xa1f6b7e0e0166d1d,
Suntory Hakushu Distillery,,https://www.google.com/maps/place/Suntory+Hakushu+Distillery/data=!4m2!3m1!1s0x601c6940f2178a97:0xf56fe94636881e1,
Rikugien Gardens,,https://www.google.com/maps/place/Rikugien+Gardens/data=!4m2!3m1!1s0x60188dbdf73e4461:0x7648774313f66fe5,
Sushi Dai,Ingredients fresh from Tsukiji Fish Market downstairs,https://www.google.com/maps/place/Sushi+Dai/data=!4m2!3m1!1s0x60188bd93b55a313:0xdecc8a1971af2252,
Sensō-ji,,https://www.google.com/maps/place/Sens%C5%8D-ji/data=!4m2!3m1!1s0x60188ec1a4463df1:0x6c0d289a8292810d,
Arashiyama Monkey Park Iwatayama,,https://www.google.com/maps/place/Arashiyama+Monkey+Park+Iwatayama/data=!4m2!3m1!1s0x600100ab6efb49bd:0x1b3493b0430734b2,
Meiji Jingu,,https://www.google.com/maps/place/Meiji+Jingu/data=!4m2!3m1!1s0x60188cb79a4c26e5:0x8fca893849103f73,
Tokyo Metropolitan Government Building,Free observation deck — open until late; can see mt. Fuji if clear,https://www.google.com/maps/place/Tokyo+Metropolitan+Government+Building/data=!4m2!3m1!1s0x60188cd4b71a37a1:0xf1665c37f38661e8,
Shibuya crossing,Busiest intersection in the world? Alice in borderland,https://www.google.com/maps/place/Shibuya+crossing/data=!4m2!3m1!1s0x60188b325ea1bbab:0x272b9058e852e4b2,
Harajuku,,https://www.google.com/maps/place/Harajuku/data=!4m2!3m1!1s0x60188ca2e4535de5:0x4819c8b806e23295,
2D Cafe 新大久保店,Dessert,https://www.google.com/maps/place/2D+Cafe+%E6%96%B0%E5%A4%A7%E4%B9%85%E4%BF%9D%E5%BA%97/data=!4m2!3m1!1s0x60188db2aa728971:0x32cef73eb90e513d,
