Title,Note,URL,Comment
Pura Social Club,Tapas,https://www.google.com/maps/place/Pura+Social+Club/data=!4m2!3m1!1s0x87ee991c8feb84dd:0xd93a6a10a0171a75,
골목식당,pheasant soup,https://www.google.com/maps/place/%EA%B3%A8%EB%AA%A9%EC%8B%9D%EB%8B%B9/data=!4m2!3m1!1s0x350ce355a8c412cd:0xe90b28f451e5b52e,
만민식당,sea urchin soup,https://www.google.com/maps/place/%EB%A7%8C%EB%AF%BC%EC%8B%9D%EB%8B%B9/data=!4m2!3m1!1s0x350c5fd7014259db:0xd35f6d8298dc6620,
고수목마식당,horse meat,https://www.google.com/maps/place/%EA%B3%A0%EC%88%98%EB%AA%A9%EB%A7%88%EC%8B%9D%EB%8B%B9/data=!4m2!3m1!1s0x350d0ed34635fc39:0x58bdd38b2db00581,
제주마원,horse meat,https://www.google.com/maps/place/%EC%A0%9C%EC%A3%BC%EB%A7%88%EC%9B%90/data=!4m2!3m1!1s0x350c5ac57dc411bb:0x28ecef271893676c,
돈이랑 중문점,Orange fried chicken special fried chicken is served with thinly skin cheonhyehyang oranges of Jeju Island.,https://www.google.com/maps/place/%EB%8F%88%EC%9D%B4%EB%9E%91+%EC%A4%91%EB%AC%B8%EC%A0%90/data=!4m2!3m1!1s0x350c5ae9f1dea4d9:0x9d1a80d5ac88a2f2,
꺼멍목장,Okdom gui -- grilled red tile fish,https://www.google.com/maps/place/%EA%BA%BC%EB%A9%8D%EB%AA%A9%EC%9E%A5/data=!4m2!3m1!1s0x350c431b39baa0e9:0xe1b208fdf1119977,
Myeongjin Jeonbok Abalone,Abalone rice porridge,https://www.google.com/maps/place/Myeongjin+Jeonbok+Abalone/data=!4m2!3m1!1s0x350d166b233eb787:0xf3629a7a166ec442,
Matna Sikdang,most well-known place served the hairtail fish dishes. served two dishes: spicy hairtail stew and saba fish stew. Beware that the hairtail stew can be easily sold out early. Open from 8.30 a.m morning and close around 1-2 p.m once it has sold finish.,https://www.google.com/maps/place/Matna+Sikdang/data=!4m2!3m1!1s0x350d137ea49e6e49:0xbf472ab35adbec44,
Hwaro Hyang,Black pork,https://www.google.com/maps/place/Hwaro+Hyang/data=!4m2!3m1!1s0x350ce356e1c3e391:0x9444bd9d1d3f6f9b,
효은양갱,Hallabong desserts,https://www.google.com/maps/place/%ED%9A%A8%EC%9D%80%EC%96%91%EA%B0%B1/data=!4m2!3m1!1s0x350c4322ff2553ab:0x228994e37148369b,
Millak Raw Fish Center,Fresh sashimi,https://www.google.com/maps/place/Millak+Raw+Fish+Center/data=!4m2!3m1!1s0x3568ed3264da0a0f:0xd45b0dceae04152e,
Jeju Heukdon Sesang Suragan,Black pork,https://www.google.com/maps/place/Jeju+Heukdon+Sesang+Suragan/data=!4m2!3m1!1s0x350c5387eab9f11b:0x792c676a472d0ea1,
Dombedon,Black pork,https://www.google.com/maps/place/Dombedon/data=!4m2!3m1!1s0x350ce35720262697:0x716d4baec11cbb19,
